title,content,author,quoted,url_title,tag_list,
真似をする時は音を真似するんじゃなくてその音を出す演奏者の気持ちを真似するんだ,,甲本ヒロト,,,音楽,
ステージに上がったら自分が１番上手いと思え。そしてステージを降りたら自分が１番下手だと思え,,エリククラプトン,,,音楽,
大事なのはどっちの道を選んでもそれを「言い訳」にしない事だよ,,,ハチミツとクローバー,,漫画,
負けたことがある」というのがいつか大きな財産になる,,,SLAM DUNK,,漫画,
優先事項が三つ以上あるなら、優先事項が何もないのと同じだ,,トニーシェイ,,,ビジネス,
たかだか一時間の番組の、ほんの数分間の一コーナーの影響力に、あなたたち、親の影響力は劣っているのか？,,松本 人志,,,メディア,
無知だと思う瞬間は、むしろ喜ばなければならない,,ジョン・キム,,,,
死ぬことはいつでもできる。生きるための努力をするべきだ,,甲本ヒロト,,,音楽,
自分の能力以上を求められる環境でなければ、個人の成長は難しいんです,,,君を成長させる言葉,,ビジネス,
「チャンスに飛びつく力」のことを、向上心とか目的意識とか、そんな堅苦しい言葉で語りたくはない。もっとシンプルな、人としての「ノリのよさ」だと思っている。,,堀江貴文,ゼロ,,ビジネス,
世の中は天才ばかりではない。けれども、改善は誰にでもできる。そして、日々改善を続けていけば、どんな巨大な目標だっていつかは達成できる。つまり、改善は凡人を天才にする方法なのだ。,,三木谷 浩史,,,ビジネス,
不自由である事と不幸である事はイコールじゃない,,アルフォンス・エルリック,鋼の錬金術師,,漫画,
絶対に失敗しないとわかっていたら、あなたは何をするだろう。少し時間をとって、この問いに真剣に答えて欲しい。絶対に成功するという確信があるなら、あなたは何を追求し、どんな行動をとるだろうか。,,,人生を変えた贈り物,,,
よくない作品をたくさん制作することによって、よい作品が生まれます。,,デイヴィッド・ベイルズ,,,芸術,
ほとんどの人は、後のことを考えて、自分の力を1％以上残しているものなんだ。でも、チャンピオンになる人は、最後の1％を躊躇なく使い切る。,,,賢人たちに学ぶ道をひらく言葉,,,
本当に欲しいものはな、欲しいと思ったその瞬間に捉えないと、すぐにどこかへ行っちまうんだよ。,,原田宗典,,,,
「頑張る」なんてのは誰にでもできる。要は「頑張り抜くか」どうかだろ。,,,-夢は逃げない。逃げるのはいつも自分だ。,,,
勝ちに徹することができるのは、勝利以上に重要な大きな志と理念があるからです。,,孫正義,,,,
持ち物をふやすというのは、ほんとにおそろしいことですね,,スナフキン,ムーミン谷の彗星,,漫画,
そうだな。なんでも自分のものにして、持ってかえろうとすると、むずかしいものなんだよ。ぼくは、見るだけにしてるんだ。そして、立ち去る時には、それを頭の中へしまっておくのさ。ぼくはそれで、カバンを持ち歩くよりも、ずっとたのしいね,,スナフキン,ムーミン谷の彗星,,漫画,
こまかいことをいうなよ。そのぐらいのちがいなら、ぼくたちの計算では、合っているというんだ,,スナフキン,ムーミン谷の彗星,,漫画,
戦争やってる遠くの国のことよりも友達の方が大切だと思うけどなぁ。,,,永遠の０,,小説,
人間、誰だって、ひとさまにゃわかってもらえん重い荷物をしょってるもんだよ。,,,紅蓮の島,,,
はじめからうまくできる人なんていないんだから！！,,赤木晴子,SLUM DANK,,漫画,
